id,cod,num,pos,name,comuna,type,servicios,stop,eje,codSimt,distancia
1612,PB1587,0,"[-33.3957672, -70.6570475]",Avenida Dorsal esq. El Guanaco,RECOLETA,0,"[{'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 16, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 11, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 17, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}]","{'stopId': 926396, 'stopCoordenadaX': '-33.3957672', 'stopCoordenadaY': '-70.6570475'}",Avenida Dorsal,PB1587,0.0
1032,PB14,0,"[-33.3963488, -70.6615083]",Avenida Dorsal esq. Araguayas,CONCHALÍ,0,"[{'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 12, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 18, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 17, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}]","{'stopId': 926397, 'stopCoordenadaX': '-33.3963488', 'stopCoordenadaY': '-70.6615083'}",Avenida Dorsal,PB14,0.0
1033,PB15,0,"[-33.3968973, -70.6650309]",Avenida Dorsal esq. Cencerro,CONCHALÍ,0,"[{'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 18, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 13, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 19, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}]","{'stopId': 926398, 'stopCoordenadaX': '-33.3968973', 'stopCoordenadaY': '-70.6650309'}",Avenida Dorsal,PB15,0.0
1034,PB16,2,"[-33.3975552, -70.669069]",Avenida Dorsal esq. Av. Independencia,CONCHALÍ,0,"[{'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 20, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 14, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 1217, 'cod': 'B27', 'destino': '(M) Salvador', 'orden': 21, 'color': '#cf152d', 'negocio': {'nombre': 'RBU US4', 'color': '#cf152d'}, 'recorrido': {'destino': '(M) Salvador'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U11'}, {'id': 338, 'cod': 'B10', 'destino': '(M) Cerro Blanco', 'orden': 21, 'color': '#ED1C24', 'negocio': {'nombre': 'Redbus Urbano S.A.', 'color': '#ED1C24'}, 'recorrido': {'destino': '(M) Cerro Blanco'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U6'}, {'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 19, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}]","{'stopId': 926399, 'stopCoordenadaX': '-33.3975552', 'stopCoordenadaY': '-70.6690690'}",Avenida Dorsal,PB16,0.0
1306,PB18,0,"[-33.399218, -70.6736891]",Roma esq. La Primavera,CONCHALÍ,0,"[{'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 15, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 20, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 21, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}]","{'stopId': 926400, 'stopCoordenadaX': '-33.3992180', 'stopCoordenadaY': '-70.6736891'}",Roma,PB18,0.0
1307,PB1469,0,"[-33.4002512, -70.6765268]",Roma esq. B. de Juras Reales,CONCHALÍ,0,"[{'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 22, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 16, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 21, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}]","{'stopId': 926401, 'stopCoordenadaX': '-33.4002512', 'stopCoordenadaY': '-70.6765268'}",Roma,PB1469,0.0
1303,PB1563,4,"[-33.402202, -70.6819456]",Roma esq. Pdte. Frei Montalva,CONCHALÍ,0,"[{'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 22, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 17, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 23, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 353, 'cod': 'B17', 'destino': 'Huamachuco', 'orden': 24, 'color': '#ED1C24', 'negocio': {'nombre': 'Redbus Urbano S.A.', 'color': '#ED1C24'}, 'recorrido': {'destino': 'Huamachuco'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U6'}]","{'stopId': 926402, 'stopCoordenadaX': '-33.4022020', 'stopCoordenadaY': '-70.6819456'}",Roma,PB1563,0.0
13632,PB2024,0,"[-33.402746, -70.6857036]",Avenida Dorsal esq. Camino Lo Ruiz,RENCA,0,"[{'id': 353, 'cod': 'B17', 'destino': 'Huamachuco', 'orden': 25, 'color': '#ED1C24', 'negocio': {'nombre': 'Redbus Urbano S.A.', 'color': '#ED1C24'}, 'recorrido': {'destino': 'Huamachuco'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U6'}, {'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 23, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 24, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 18, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}]","{'stopId': 926403, 'stopCoordenadaX': '-33.4027460', 'stopCoordenadaY': '-70.6857036'}",Avenida Dorsal,PB2024,0.0
13635,PB2022,0,"[-33.4003335, -70.6934758]",Avenida Dorsal esq. Colón,RENCA,0,"[{'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 19, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 24, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 353, 'cod': 'B17', 'destino': 'Huamachuco', 'orden': 26, 'color': '#ED1C24', 'negocio': {'nombre': 'Redbus Urbano S.A.', 'color': '#ED1C24'}, 'recorrido': {'destino': 'Huamachuco'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U6'}, {'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 25, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}]","{'stopId': 926404, 'stopCoordenadaX': '-33.4003335', 'stopCoordenadaY': '-70.6934758'}",Avenida Dorsal,PB2022,0.0
13634,PB2018,0,"[-33.3999804, -70.6966211]",Avenida Dorsal esq. Av.Apóstol Santiago,RENCA,0,"[{'id': 1171, 'cod': '107c', 'destino': 'Plaza Renca', 'orden': 26, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Plaza Renca'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}, {'id': 810, 'cod': '101', 'destino': 'Cerrillos', 'orden': 20, 'color': '#F7941D', 'negocio': {'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}, 'recorrido': {'destino': 'Cerrillos'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U4'}, {'id': 1169, 'cod': '107', 'destino': 'Av. Departamental', 'orden': 25, 'color': '#cf152d', 'negocio': {'nombre': 'STU US5', 'color': '#cf152d'}, 'recorrido': {'destino': 'Av. Departamental'}, 'horarios': [{}], 'paradas': [], 'shapes': [], 'itinerario': False, 'codigo': 'U12'}]","{'stopId': 926405, 'stopCoordenadaX': '-33.3999804', 'stopCoordenadaY': '-70.6966211'}",Avenida Dorsal,PB2018,0.0
