id,cod,destino,orden,color,negocio,recorrido,horarios,paradas,shapes,itinerario,codigo
18,109,Renca,30,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Renca'},[{}],[],[],False,U1
25,113,(M) Los Héroes,35,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
789,113c,(M) Cerrillos,35,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U1
826,108,La Florida,45,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
971,115c,(M) Cerrillos,31,#0093B3,"{'nombre': 'Buses Metropolitana S.A.', 'color': '#0093B3'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U5
194,109n,Plaza Italia,30,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U1
29,115,(M) Los Héroes,31,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
18,109,Renca,31,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Renca'},[{}],[],[],False,U1
971,115c,(M) Cerrillos,32,#0093B3,"{'nombre': 'Buses Metropolitana S.A.', 'color': '#0093B3'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U5
795,I25,Villa S. Henríquez,13,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Villa S. Henríquez'},[{}],[],[],False,U3
29,115,(M) Los Héroes,32,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
789,113c,(M) Cerrillos,36,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U1
826,108,La Florida,46,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
194,109n,Plaza Italia,31,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U1
25,113,(M) Los Héroes,36,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
789,113c,(M) Cerrillos,37,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U1
194,109n,Plaza Italia,32,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U1
25,113,(M) Los Héroes,37,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
795,I25,Villa S. Henríquez,14,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Villa S. Henríquez'},[{}],[],[],False,U3
18,109,Renca,32,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Renca'},[{}],[],[],False,U1
29,115,(M) Los Héroes,33,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
826,108,La Florida,47,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
971,115c,(M) Cerrillos,33,#0093B3,"{'nombre': 'Buses Metropolitana S.A.', 'color': '#0093B3'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U5
971,115c,(M) Cerrillos,34,#0093B3,"{'nombre': 'Buses Metropolitana S.A.', 'color': '#0093B3'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U5
25,113,(M) Los Héroes,38,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
29,115,(M) Los Héroes,34,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
789,113c,(M) Cerrillos,38,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U1
18,109,Renca,33,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Renca'},[{}],[],[],False,U1
194,109n,Plaza Italia,33,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U1
826,108,La Florida,48,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
795,I25,Villa S. Henríquez,15,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Villa S. Henríquez'},[{}],[],[],False,U3
789,113c,(M) Cerrillos,39,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U1
826,108,La Florida,49,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
25,113,(M) Los Héroes,39,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
194,109n,Plaza Italia,34,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Plaza Italia'},[{}],[],[],False,U1
795,I25,Villa S. Henríquez,16,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Villa S. Henríquez'},[{}],[],[],False,U3
18,109,Renca,34,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Renca'},[{}],[],[],False,U1
971,115c,(M) Cerrillos,35,#0093B3,"{'nombre': 'Buses Metropolitana S.A.', 'color': '#0093B3'}",{'destino': '(M) Cerrillos'},[{}],[],[],False,U5
29,115,(M) Los Héroes,35,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
18,109,Renca,35,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'Renca'},[{}],[],[],False,U1
29,115,(M) Los Héroes,36,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Los Héroes'},[{}],[],[],False,U1
